user_id,item_id,cart_value,num_items_in_cart,hour_of_day,avg_order_value,beverage_preference_score,dessert_preference_score,order_frequency_30d,item_price,item_margin,item_category,item_popularity_score,item_is_beverage,item_is_dessert,purchase_prob,purchased
676,67,608,1,10,538,0.3961726916092554,0.4834074359731466,8,212,26,dessert,0.33440117898874866,0,1,0.3059024665896937,1
277,57,1052,1,22,619,0.16703394609207523,0.656780104724294,16,331,15,beverage,0.09536092127300355,1,0,0.10368236808222328,0
953,76,314,2,1,308,0.4882411370217782,0.4476734254104183,11,181,90,main,0.2681743677449133,0,0,0.16313487354898265,0
835,18,344,5,13,471,0.7552704204968079,0.36005046590097833,6,293,60,main,0.6024494419665878,0,0,0.17398988839331755,0
988,61,119,3,15,282,0.0712567277652586,0.9811778367622945,17,201,56,side,0.08352491468001877,0,0,0.11620498293600377,0
299,70,309,2,8,321,0.15389590633985506,0.9835214727152221,6,93,144,side,0.16136735838838312,0,0,0.18577347167767663,0
801,9,525,3,21,260,0.6508773690471942,0.003819922658583108,17,205,64,beverage,0.1709364024208483,1,0,0.3269504911983279,1
588,24,1099,2,15,551,0.61714498660403,0.6458223862864843,9,213,132,beverage,0.1354595367946908,1,0,0.3057354033401472,1
809,43,1080,3,0,762,0.7306505102392461,0.31334791758514313,12,146,17,side,0.2752391810370083,0,0,0.18204783620740167,0
648,98,171,5,1,794,0.21567515239771717,0.4888978317924514,10,161,40,main,0.15631697070886086,0,0,0.15076339414177217,1
617,57,277,5,6,610,0.951811785423239,0.9559188289553192,11,331,15,beverage,0.09536092127300355,1,0,0.33911571988157235,1
606,24,398,1,11,271,0.03934354066850965,0.3842067129858002,6,213,132,beverage,0.1354595367946908,1,0,0.13239496955949107,1
134,92,365,2,17,185,0.2064212717606032,0.7886149646724064,16,299,77,dessert,0.24053158518014872,0,1,0.3351908064377517,0
579,75,619,5,5,322,0.45378954138363925,0.6884050184921369,3,189,72,dessert,0.1492494697414739,0,1,0.34187139949593587,1
146,39,374,5,1,489,0.5189177052828375,0.6425651995351915,5,333,74,side,0.5883522209831533,0,0,0.15117044419663067,0
489,75,1047,2,13,594,0.7064757264869012,0.3388606493387516,10,189,72,dessert,0.1492494697414739,0,1,0.2370080887499203,0
477,69,152,2,15,674,0.35062693120918076,0.33134700710305076,1,230,22,side,0.5299405869302329,0,0,0.1909881173860466,0
158,9,911,1,9,782,0.5664046402968972,0.33451128874193214,6,205,64,beverage,0.1709364024208483,1,0,0.3016086725732388,0
383,65,588,5,4,542,0.6209155177674771,0.56044063098044,10,162,68,beverage,0.49253538071428926,1,0,0.403781731473101,1
162,24,601,3,21,605,0.7325720972102503,0.2730708099728124,17,213,132,beverage,0.1354595367946908,1,0,0.34036353652201323,0
440,70,406,2,15,726,0.7965372909761763,0.0938572848233562,4,93,144,side,0.16136735838838312,0,0,0.18577347167767663,0
852,86,516,2,6,475,0.9193919732144173,0.21574067917645412,9,389,74,side,0.25982813794029946,0,0,0.057465627588059884,0
188,10,608,2,14,715,0.9502373538208024,0.05705472115125432,14,322,46,side,0.41814478816279965,0,0,0.12262895763255993,0
414,35,1020,2,12,490,0.4197273169261223,0.01240403627731479,14,235,49,dessert,0.011302536589022472,0,1,0.08848171820099894,0
338,48,737,5,16,687,0.8505817290942419,0.4942124472502999,15,336,87,side,0.5498685627762052,0,0,0.14197371255524105,0
606,47,765,3,17,271,0.03934354066850965,0.3842067129858002,6,125,90,beverage,0.37472197050737643,1,0,0.2242474563020282,0
180,86,105,1,17,262,0.7994158789689793,0.7655128989911097,4,389,74,side,0.25982813794029946,0,0,0.057465627588059884,1
287,6,521,4,16,375,0.18643826214425452,0.6345824175503038,19,112,70,main,0.5464585417281244,0,0,0.25329170834562487,0
833,90,489,5,2,372,0.6235856880027597,0.6441492214759159,4,302,137,dessert,0.2299937539632405,0,1,0.28824351723542285,1
186,76,433,5,11,791,0.9173135754622428,0.956614621083458,3,181,90,main,0.2681743677449133,0,0,0.16313487354898265,0
883,50,437,4,5,730,0.1463739921622491,0.4640951594535039,4,286,119,beverage,0.4261212379522308,1,0,0.18613644523912093,1
137,16,947,4,11,392,0.9000186418481051,0.14745252670628395,2,168,11,beverage,0.016592480632597884,1,0,0.38932408868095114,0
129,31,368,2,10,634,0.5765164755142536,0.07705827913433116,4,277,98,beverage,0.5739498660690104,1,0,0.34924491586807815,0
193,25,164,3,8,279,0.7322248864095612,0.2495461998495061,19,107,134,beverage,0.23147521376529812,1,0,0.41246250867592793,1
315,21,777,5,18,265,0.5508573706091393,0.6679199988036271,13,267,117,beverage,0.02370775364451838,1,0,0.23649876191164546,0
983,12,1187,5,18,772,0.6802277792083533,0.25954178317609033,10,196,111,side,0.8979646468477885,0,0,0.2815929293695577,0
784,11,756,1,1,380,0.7243388171287412,0.14287596133941172,16,55,65,dessert,0.7572829782755007,0,1,0.3668193840569237,1
863,70,880,4,12,699,0.8059254001176211,0.1992152748940531,15,93,144,side,0.16136735838838312,0,0,0.18577347167767663,0
143,0,428,4,17,177,0.9144119459249598,0.7356631142391898,4,276,100,beverage,0.12038757878908901,1,0,0.36040109953530575,1
15,32,617,5,22,280,0.9198556164127605,0.5303021332491583,8,296,85,dessert,0.392895108893179,0,1,0.28966966175338327,0
301,13,961,4,3,307,0.22444057183666066,0.20201566840248997,4,233,102,side,0.08412766225938284,0,0,0.10032553245187657,0
422,63,520,2,21,249,0.2131047040250833,0.9028949951919872,17,244,29,dessert,0.7524683375864943,0,1,0.49936216607489503,1
244,42,408,1,23,357,0.9979341105333375,0.8499753714806619,19,345,108,beverage,0.5441986625037022,1,0,0.43571996566074167,0
926,57,913,5,13,347,0.4497846488213225,0.9913279015642206,4,331,15,beverage,0.09536092127300355,1,0,0.18850757890099748,0
106,40,945,1,13,182,0.29446575954191767,0.8861957804650745,8,259,88,beverage,0.3976844144330547,1,0,0.23837661074918626,0
87,80,1061,2,4,670,0.8963358185211198,0.18802473461541613,3,178,113,beverage,0.056680432165835404,1,0,0.391236831989503,0
128,67,820,1,18,245,0.11775108289014113,0.4982556822634536,15,212,26,dessert,0.33440117898874866,0,1,0.31035694047678586,0
906,38,1165,4,1,281,0.05778056099636664,0.6464587416379305,8,233,138,beverage,0.0402580030092321,1,0,0.10888576890075641,0
886,0,689,5,15,483,0.025811906949486985,0.6775422674589532,13,276,100,beverage,0.12038757878908901,1,0,0.09382108784266391,0
340,40,419,1,5,674,0.7083629767150348,0.33520804737087273,9,259,88,beverage,0.3976844144330547,1,0,0.36254577590112136,0
3,44,1110,3,10,256,0.9208418826173723,0.020944961030912812,7,257,26,side,0.7094388646339748,0,0,0.21338777292679498,0
326,87,544,5,11,775,0.8512069140487687,0.07940658464302952,13,165,108,dessert,0.8860861088135163,0,1,0.31853919715561213,0
409,97,385,1,23,602,0.2732595269982093,0.11258039041193701,11,162,105,beverage,0.39699216220747413,1,0,0.28037629054095764,0
878,97,270,5,12,478,0.6062529377509774,0.49286458444744663,3,162,105,beverage,0.39699216220747413,1,0,0.38027431376678805,1
305,87,362,1,9,667,0.5800862078378112,0.15210428322227287,19,165,108,dessert,0.8860861088135163,0,1,0.34034850672938516,0
907,78,1041,1,13,750,0.6950352288585532,0.9741944438163571,8,225,131,beverage,0.4084555814084826,1,0,0.3777016849392625,1
606,80,241,4,3,271,0.03934354066850965,0.3842067129858002,6,178,113,beverage,0.056680432165835404,1,0,0.13413914863371995,0
720,12,727,1,1,430,0.31130769915600365,0.6768212988573956,2,196,111,side,0.8979646468477885,0,0,0.2815929293695577,0
224,70,692,3,18,790,0.07695320162920916,0.6085272726964666,19,93,144,side,0.16136735838838312,0,0,0.18577347167767663,0
970,8,515,4,18,160,0.038426348962324997,0.04997902865967874,16,388,131,main,0.1602256009765063,0,0,0.03804512019530126,0
347,62,124,3,14,620,0.8808707591989284,0.3479414115821666,13,54,14,dessert,0.2111259425580374,0,1,0.3196076119862575,0
991,98,726,3,8,753,0.737508359459007,0.9078987937796194,6,161,40,main,0.15631697070886086,0,0,0.15076339414177217,1
320,22,193,2,3,472,0.7234201136885849,0.16223340578247936,4,226,85,beverage,0.8349472056944037,1,0,0.4710154752454562,1
558,53,404,3,21,600,0.17968310887024197,0.34316735317265823,18,116,63,beverage,0.22431855885352625,1,0,0.2407686444317778,0
987,46,284,1,12,473,0.07208433599867337,0.6223432646172461,11,233,99,dessert,0.9042432914075651,0,1,0.4510516376666869,0
180,38,382,5,8,262,0.7994158789689793,0.7655128989911097,4,233,138,beverage,0.0402580030092321,1,0,0.3313763642925402,1
617,86,785,4,11,610,0.951811785423239,0.9559188289553192,11,389,74,side,0.25982813794029946,0,0,0.057465627588059884,0
710,25,962,4,13,599,0.06026739028956085,0.692532431537108,4,107,134,beverage,0.23147521376529812,1,0,0.2108752598399279,1
385,0,784,4,23,207,0.8715368061523763,0.4470555438064254,9,276,100,beverage,0.12038757878908901,1,0,0.3475385576035307,0
617,13,765,5,11,610,0.951811785423239,0.9559188289553192,11,233,102,side,0.08412766225938284,0,0,0.10032553245187657,0
791,95,1137,3,21,361,0.32337156211552076,0.05433203482290383,5,326,99,side,0.673092130911217,0,0,0.1716184261822434,0
771,73,989,2,12,152,0.39090599590551467,0.8886590802653986,4,211,128,main,0.760160929790159,0,0,0.24653218595803184,0
107,64,915,1,17,197,0.9484533069621567,0.5930443341867842,7,332,143,dessert,0.051293848981215584,0,1,0.22217207005227838,0
530,68,440,4,4,542,0.2576828885112137,0.7511780478084181,1,154,23,main,0.3945723153189238,0,0,0.20191446306378474,0
409,66,703,1,18,602,0.2732595269982093,0.11258039041193701,11,320,141,dessert,0.44210703467972,0,1,0.1621955240595251,0
970,48,833,3,2,160,0.038426348962324997,0.04997902865967874,16,336,87,side,0.5498685627762052,0,0,0.14197371255524105,1
295,49,918,2,16,341,0.1738952492194873,0.31676167706752667,10,191,15,beverage,0.05057310382422886,1,0,0.16678319553069196,0
817,57,1006,4,19,586,0.5358276844730813,0.6870192665032427,5,331,15,beverage,0.09536092127300355,1,0,0.2143204895965251,0
170,52,639,3,6,621,0.3342438908169608,0.18610141784627732,17,339,81,side,0.8056488053633419,0,0,0.1916297610726684,0
330,90,538,2,2,639,0.8246809659251492,0.8190635138616561,16,302,137,dessert,0.2299937539632405,0,1,0.3407178049511449,0
492,56,1087,4,6,414,0.05197128365147241,0.5126677259564164,7,122,69,main,0.9303984201693255,0,0,0.3250796840338651,0
